"Call sign","Frequency","City of License [1][2]","Licensee [2][3]","Format [4]"
"WVNZ","1320 AM","Richmond","Davidson Media Station WVNZ Licensee, LLC","Spanish Contemporary"
"WVRI","90.9 FM","Clifton Forge","Liberty University, Inc.","Contemporary Christian"
"WVRS","90.1 FM","Gore","Timber Ridge Ministries, Inc.","Southern Gospel"
"WVRU-FM","89.9 FM","Radford","Radford University","Public Radio"
"WVSP-FM","94.1 FM","Yorktown","MHR License LLC","Sports"
"WVST-FM","91.3 FM","Petersburg","Virginia State University","Variety"
"WVTF","89.1 FM","Roanoke","Virginia Tech Foundation, Inc.","Public Radio"
"WVTR","91.9 FM","Marion","Virginia Tech Foundation, Inc.","Public Radio"
"WVTU","89.3 FM","Charlottesville","Virginia Tech Foundation, Inc.","Public Radio"
"WVTW","88.5 FM","Charlottesville","Virginia Tech Foundation, Inc.","Public Radio"
"WVXX","1050 AM","Norfolk","Hindlin Broadcasting, LLC","Spanish Contemporary"
"WWBU","101.7 FM","Radford","Cumulus Licensing LLC","Sports"
"WWDE-FM","101.3 FM","Hampton","Entercom License, LLC","Adult Contemporary"
"WWDN","1580 AM","Danville","Lakes Media, LLC","Classic Hits"
"WWDW","107.7 FM","Alberta","First Media Radio, LLC","Adult Contemporary"
"WWEQ","90.5 FM","Pamplin City","Calvary Chapel of Lynchburg","Religious"
"WWER","88.1 FM","Colonial Beach","Fredericksburg Christian Educational Services, Inc.","Contemporary Christian\/Religious"
"WWIP","89.1 FM","Cheriton","Delmarva Educational Association","Contemporary Christian\/Religious"
"WWLB","93.1 FM","Ettrick","Alpha Media Licensee LLC","Classic Country"
"WWRE","105.1 FM","Bridgewater","Tidewater Communications, LLC","Classic Hits"
"WWUZ","96.9 FM","Bowling Green","Alpha Media Licensee LLC","Classic Rock"
"WWVT","1260 AM","Christiansburg","Virginia Tech Foundation, Inc.","Public Radio"
"WWWJ","1360 AM","Galax","Twin County Broadcasting Corporation","Southern Gospel"
"WWWT-FM","107.7 FM","Manassas","Washington DC FCC License Sub, LLC","All News"
"WWWV","97.5 FM","Charlottesville","Saga Communications of Charlottesville, LLC","Classic Rock"
"WWXX","94.3 FM","Buckland","Red Zebra Broadcasting Licensee, LLC","Sports"
"WWZW","96.7 FM","Buena Vista","First Media Radio, LLC","Classic Hits"
"WXBN","105.5 FM","Berryville","Centennial Licensing II, LLC","Country"
"WXBQ-FM","96.9 FM","Bristol","Bristol Broadcasting Company, Inc.","Country"
"WXBX","95.3 FM","Rural Retreat","Three Rivers Media Corporation","Oldies"
"WXCF","1230 AM","Clifton Forge","WVJT, LLC","Light Adult Contemporary"
"WXDM","90.3 FM","Front Royal","Christendom Educational Corporation","Catholic Religious"
"WXEZ-LP","101.1 FM","Hillsville","Community Broadcasting of Hillsville","Adult Contemporary"
"WXGI","950 AM","Richmond","Red Zebra Broadcasting Licensee (Richmond), LLC","Sports"
"WXGM","1420 AM","Gloucester","WXGM, Inc.","Adult Standards"
"WXGM-FM","99.1 FM","Gloucester","WXGM, Inc.","Adult Contemporary"
"WXJK","101.3 FM","Farmville","David W. Layne","Classic Rock"
"WXJM","88.7 FM","Harrisonburg","James Madison University Board of Visitors","Variety"
"WXJX-LP","99.7 FM","Hillsville","Hillsville Radio for Kids","Children's"
"WXLK","92.3 FM","Roanoke","Mel Wheeler, Inc.","Contemporary Hit Radio"
"WXLZ","1140 AM","St. Paul","Yeary Broadcasting, Inc.","Country"
"WXLZ-FM","107.3 FM","Lebanon","Yeary Broadcasting, Inc.","Country"
"WXMM-LP","95.9 FM","Hillsville","Pink Doors Media","Variety"
"WXMY","1600 AM","Saltville","Continental Media Group, LLC","Classic Country"
"WXRK-LP","92.3 FM","Charlottesville","Blue Ridge Free Media","Active Rock\/Alternative Rock"
"WXTG","1490 AM","Hampton","Davis Media, LLC","Classic Country\/Talk\/Sports"
"WXTG-FM","102.1 FM","Virginia Beach","Davis Media, LLC","Adult Album Alternative"
"WXTJ-LP","100.1 FM","Charlottesville","Rector & Visitors of the University of Virginia","Freeform"
"WXTR","89.9 FM","Tappahannock","Action, Inc.","Christian Talk"
"WXVA","610 AM","Winchester","Winchester Radio Broadcasters","Full Service\/Classic Hits"
"WYAU","89.5 FM","Spotsylvania","Board of Trustees of American University","Public Radio"
"WYCS","91.5 FM","Yorktown","Creative Educational Media Corp. Inc.","Religious"
"WYFI","99.7 FM","Norfolk","Bible Broadcasting Network, Inc.","Religious"
"WYFJ","99.9 FM","Ashland","Bible Broadcasting Network, Inc.","Religious"
"WYFT","103.9 FM","Luray","Bible Broadcasting Network, Inc.","Religious"
"WYRV","770 AM","Cedar Bluff","Faith Communications, Inc.","Variety"
"WYTI","1570 AM","Rocky Mount","WYTI, Inc.","Full Service"
"WYTT","99.5 FM","Emporia","First Media Radio, LLC","Mainstream Urban"
"WYVE","1280 AM","Wytheville","Three Rivers Media Corporation","Full Service"
"WYYD","107.9 FM","Amherst","Capstar TX LLC","Country"
"WZAP","690 AM","Bristol","Ram Communications, Inc.","Religious\/Southern Gospel"
"WZBB","99.9 FM","Stanleytown","WNLB Radio, Inc.","Country"
"WZEZ","100.5 FM","Goochland","Delmarva Educational Association","Sports"
"WZFC","104.9 FM","Strasburg","Centennial Licensing II, LLC","Country"
"WZFM","101.3 FM","Narrows","WZFM, LLC","Classic Hits"
"WZGN","102.3 FM","Crozet","Monticello Media","Classic Hits"
"WZHF","1390 AM","Arlington","Way Broadcasting Licensee, LLC","Russian"
"WZLV","90.7 FM","Cape Charles","Educational Media Foundation","Contemporary Christian"
"WZRV","95.3 FM","Front Royal","Royal Broadcasting, Inc.","Classic Hits"
"WZVA","103.5 FM","Marion","T.E.C.O. Broadcasting, Inc.","Country"
"WZZI","106.9 FM","Bedford","WVJT, LLC","Sports"
"WZZU","97.9 FM","Lynchburg","WVJT, LLC","Classic Rock"

